Genotype	Year	Provenance	Deme	Genetics	Population	Latitude	Longitude	Elevation	Height	Volume	Growth.rate	H.D	Amax	Amax.mass	LMAsummer	deltaleaf	delta15N	gs	C.N	Narea	Nmass	NUE	WUE	Growth.period	Budset	Canopy.duration	Leaf.drop	Post.budset.period	fitness
CNYH28_5	2009	CNYH	South	0.243087768	28	49.67	125.07	76	181	154.5	0.59	107	20.33	0.2479	0.08219	19.86	1.514	0.3614	20.16	0.001976	0.02405	10.37	4.226	200.5	240	288	327.5	87.5	118.7
CSYJ28_1	2009	CSYJ	South	0.254952275	28	49.07	123.87	20	251.3	576.5	0.93	89.4	18.53	0.2001	0.09328	18.67	2.09	0.3345	23.37	0.001905	0.02055	9.72	4.257	215.5	263	294.8	342.3	79.3	195
CSYJ28_2	2009	CSYJ	South	0.268917983	28	49.07	123.87	20	314.5	1168.8	1.04	91.5	23.68	0.2501	0.09619	18.43	1.447	0.4207	21.33	0.002168	0.02274	10.97	4.31	220.8	264.8	292.8	336.8	72	224.2
CSYJ28_3	2009	CSYJ	South	0.248025494	28	49.07	123.87	20	262	560.4	0.89	95.5	21.41	0.2284	0.09406	NA	1.721	0.375	19	0.002323	0.02469	9.23	4.282	218.5	258	301	340.5	82.5	193.2
FNYI28_1	2009	FNYI	South	0.246626481	28	49.52	124.85	46	219.5	442.7	0.69	79.1	17.66	0.2561	0.06906	19.92	1.194	0.286	20.19	0.001681	0.02442	10.58	4.404	219.3	252.5	294.5	327.8	75.3	150.7
FNYI28_2	2009	FNYI	South	0.247546609	28	49.52	124.85	46	244	553.6	0.86	85.1	17.77	0.2325	0.07672	NA	1.592	0.2603	20.11	0.001851	0.0242	9.6	4.951	200	247	275.3	322.3	75.3	170.9
FNYI28_3	2009	FNYI	South	0.256527511	28	49.52	124.85	46	202.3	215.3	0.74	110.9	17.63	0.2241	0.08037	NA	1.554	0.3558	19.19	0.001959	0.02492	9.02	3.69	195.8	252.5	270.8	327.5	75	140.5
FNYI28_4	2009	FNYI	South	0.247370386	28	49.52	124.85	46	213.3	523.3	0.89	76.2	15.83	0.2186	0.07235	19.1	1.443	0.3119	22.32	0.001584	0.02187	10	3.688	170.8	239.8	251.8	327.8	81	148
LNZK28_2	2009	LNZK	South	0.261518927	28	49.23	124.07	60	219.3	547.2	0.71	77.2	18.07	0.1958	0.09434	NA	0.394	0.3566	27.06	0.001703	0.01862	10.78	3.82	191	252.5	264.3	325.8	73.3	138.5
LNZK28_3	2009	LNZK	South	0.261317639	28	49.23	124.07	60	253	402.9	1.01	116.2	20.77	0.2506	0.08475	NA	2.276	0.4116	22.05	0.001858	0.02226	11.16	3.842	182.3	262.3	244.7	324.7	62.3	190.5
LNZK28_4	2009	LNZK	South	0.264304506	28	49.23	124.07	60	288.5	1049.7	0.95	86.5	22.84	0.2803	0.08574	NA	1.687	0.4298	19.26	0.002097	0.02499	11.16	4.044	220.8	254.3	303.5	337	82.8	212
LNZK28_5	2009	LNZK	South	0.25307073	28	49.23	124.07	60	158.8	92.1	0.58	111	21.88	0.2403	0.09168	NA	2.264	0.3831	23.62	0.002008	0.02211	10.99	4.318	192.5	249	282.5	331.5	90	109.3
MEMA28_1	2009	MEMA	South	0.239782532	28	50.22	125.8	30	149	183.8	0.51	92.3	22.14	0.2602	0.08836	NA	2.569	0.3835	22.85	0.001898	0.02215	11.62	4.372	178	243.3	247	319.8	69	110
MEMA28_3	2009	MEMA	South	0.247030043	28	50.22	125.8	30	278.3	1136.4	0.89	79.4	22.93	0.2889	0.07959	21.75	1.924	0.4478	19.58	0.00202	0.02513	11.68	3.884	222.5	248.8	295.8	322	73.3	197
MEMA28_4	2009	MEMA	South	0.254375494	28	50.22	125.8	30	235.8	618.2	0.79	97.8	21.02	0.2263	0.09585	NA	1.514	0.3445	20.42	0.002109	0.02146	11.01	4.634	201	245	294.5	338.5	93.5	163
MEMA28_5	2009	MEMA	South	0.253934292	28	50.22	125.8	30	239.8	468.5	1.07	95.2	21.09	0.2651	0.08027	18.53	2.22	0.3167	17	0.002272	0.02857	9.3	4.789	177.3	252.5	260	335.3	82.8	185.5
SLMB28_1	2009	SLMB	South	0.249645665	28	50.22	125.82	30	203.5	321.5	0.64	93.2	18.19	0.2149	0.0859	21.14	0.53	0.2856	23.02	0.001761	0.02063	10.33	4.548	206.8	247.3	294.8	335.3	88	132.5
SLMB28_3	2009	SLMB	South	0.26003794	28	50.22	125.82	30	291.5	1374.2	1.03	72.5	18.11	0.2461	0.07332	NA	2.721	0.3177	18.08	0.001997	0.02745	9.35	4.145	206.3	256.3	279.5	329.5	73.3	205
SLMB28_4	2009	SLMB	South	0.245933605	28	50.22	125.82	30	274	550.9	0.92	99.7	19.88	0.2685	0.0741	NA	1.702	0.4141	19.44	0.001803	0.02425	11.15	3.656	219.5	256.3	302	338.8	82.5	195.2
SLMC28_1	2009	SLMC	South	0.246424807	28	50.27	125.83	30	198.5	264.5	0.58	97.8	16.33	0.208	0.0788	18.89	1.196	0.2525	22.78	0.001656	0.02103	9.84	4.708	222.3	248.8	303	329.5	80.8	130.6
SLMC28_2	2009	SLMC	South	0.24461618	28	50.27	125.83	30	294	1797.6	0.92	62.2	20.9	0.2322	0.09025	18.52	1.324	0.3685	21.92	0.001986	0.02198	10.62	4.21	211.3	252.5	288.5	329.8	77.3	194
SLMC28_3	2009	SLMC	South	0.253382361	28	50.27	125.83	30	231.8	334	0.99	101.2	18.01	0.2139	0.0843	NA	0.935	0.3324	22.35	0.001804	0.02137	10.07	4.13	189.5	256.3	270	336.8	80.5	186.3
SLMD28_1	2009	SLMD	South	0.247449185	28	50.28	125.87	30	307	1375.2	1.25	80	18.68	0.2224	0.08398	NA	2.7	0.4065	19.68	0.002098	0.02576	9.13	3.527	194	263.3	265.8	335	71.8	238.5
SLMD28_3	2009	SLMD	South	0.249617167	28	50.28	125.87	30	193	390.1	0.72	83.3	17.64	0.2324	0.07574	19.97	2.231	0.3084	19.41	0.001889	0.0249	9.33	4.264	204.5	256.3	281.5	333.3	77	145.7
SLMD28_5	2009	SLMD	South	0.251441674	28	50.28	125.87	30	250	545.7	0.68	93.3	17.72	0.2219	0.08093	19.31	1.448	0.3017	19.21	0.002038	0.02539	8.7	4.254	245.3	261.3	322.8	338.8	77.5	168
WHTE28_1	2009	WHTE	South	0.247203562	28	50.13	126.05	213	256.3	550	0.79	99.3	17.34	0.2112	0.08197	NA	2.268	0.2845	21.99	0.0018	0.02188	9.79	4.534	237.3	256.3	316	336.8	78.7	184.3
WHTE28_3	2009	WHTE	South	0.254173863	28	50.13	126.05	213	132.9	170.3	0.59	84.9	19.46	0.2417	0.08119	NA	1.708	0.3559	23.51	0.001695	0.0208	11.75	4.018	204.8	248	285.3	321.3	80.5	78.1
WHTE28_4	2009	WHTE	South	0.252365021	28	50.13	126.05	213	196.5	253.7	0.75	100.9	14.82	0.197	0.07503	19.79	2.522	0.2939	20.44	0.001806	0.02439	8.54	3.705	175	234.8	267.8	327.5	92.8	128.5
WHTE28_5	2009	WHTE	South	0.251296524	28	50.13	126.05	213	135.5	132.3	0.98	98.8	20.78	0.275	0.07615	18.22	1.984	0.3798	18.91	0.001923	0.02516	11.04	4.056	165	251	229	326	64	87.5
CARS29_2	2009	CARS	Oregon	0.268885556	29	45.75	122.83	650	275	1009	0.8	80.9	19.68	0.2359	0.08525	20.66	2.438	0.3116	18.61	0.002175	0.02616	9.04	4.583	245	266.3	321	342.3	76	195.9
CARS29_3	2009	CARS	Oregon	0.285283704	29	45.75	122.83	650	232.3	471.2	0.78	87.5	14.51	0.2143	0.07022	18.22	1.844	0.307	18.19	0.001824	0.02662	8.05	3.337	209.7	273.8	276.7	342.3	67	151.5
CARS29_4	2009	CARS	Oregon	0.275847037	29	45.75	122.83	650	296.1	664.9	0.84	102.9	17.96	0.2174	0.08322	20.07	1.71	0.2877	18.28	0.002166	0.0264	8.24	4.534	237.3	283.8	297.5	344	60.3	198
LONG29_1	2009	LONG	Oregon	0.255888148	29	46.08	123.92	100	328.8	914.6	1.1	105.4	21.25	0.254	0.08447	NA	2.108	0.3572	21.24	0.001889	0.02287	11.45	4.356	220.5	289	280.8	349.3	60.3	242.2
LONG29_2	2009	LONG	Oregon	0.283324444	29	46.08	123.92	100	226	366.9	0.74	111	13.68	0.1969	0.06978	NA	1.641	0.1588	19.64	0.001713	0.02465	8.07	6.014	220.8	277	278.8	335	58	166.2
LONG29_4	2009	LONG	Oregon	0.285935926	29	46.08	123.92	100	237.9	412.5	0.86	110.1	17.05	0.2507	0.06845	NA	2.129	0.282	19.58	0.001677	0.02476	10.44	4.388	220.4	266.3	299	344.9	78.6	174.1
LONG29_5	2009	LONG	Oregon	0.284385556	29	46.08	123.92	100	298.5	833.3	0.77	97.3	16.18	0.2159	0.07516	18.77	2.123	0.259	17.71	0.001958	0.0261	8.48	4.652	253.3	290.3	307	344	53.8	193.5
NBON29_1	2009	NBON	Oregon	0.258524815	29	45.58	122	300	206.3	360.3	0.59	86.7	16.84	0.1895	0.09193	NA	1.355	0.369	25.43	0.001722	0.01919	9.8	3.37	243.8	263.3	322.8	342.3	79	143.8
NBON29_2	2009	NBON	Oregon	0.279463333	29	45.58	122	300	226.8	362.5	0.69	102.7	16.22	0.2196	0.07497	19.52	0.709	0.4026	25.63	0.001408	0.01902	11.49	2.968	233.8	270.5	303.5	340.3	69.8	160.8
PITS29_1	2009	PITS	Oregon	0.27117	29	45.83	123.12	900	247.7	534.7	0.84	101.4	14.38	0.1985	0.0744	17.2	1.808	0.194	20.29	0.001736	0.02367	8.29	5.308	218.5	277.6	287.7	345.4	69.2	179.2
HALS30_1	2009	HALS	Oregon	0.256892963	30	44.42	123.33	300	241	397.5	0.68	102.4	19.72	0.249	0.07891	21.59	1.762	0.3245	18.85	0.002021	0.02544	9.89	4.676	275	296.3	322.8	344	47.8	187.1
HALS30_2	2009	HALS	Oregon	0.260211852	30	44.42	123.33	300	281	673.8	0.77	103.1	21.43	0.2395	0.09078	19.9	1.823	0.4202	19.92	0.002177	0.02447	9.88	3.869	267.3	316.3	302	351	34.8	205.5
HALS30_4	2009	HALS	Oregon	0.251047037	30	44.42	123.33	300	255.8	459.6	0.78	105.9	15.52	0.1944	0.07955	20.33	2.201	0.3131	26.2	0.0014	0.01783	11.1	3.597	260.5	280	328	347.5	67.5	206.5
JASP30_1	2009	JASP	Oregon	0.261706296	30	44	122.92	150	252	516.5	0.88	100.7	16.72	0.2382	0.07053	20.08	0.855	0.3896	25.67	0.001295	0.01831	12.98	3.155	233.5	279.3	296.3	342	62.8	205
JASP30_3	2009	JASP	Oregon	0.264398519	30	44	122.92	150	209	544.6	0.74	83.2	16.57	0.2026	0.08152	22.17	1.083	0.3443	29.29	0.001319	0.01617	12.01	3.522	229.3	293.3	285.3	349.3	56	175.5
JASP30_4	2009	JASP	Oregon	0.251753333	30	44	122.92	150	320.3	1193.9	0.91	90.4	20.89	0.2566	0.0809	21.39	1.428	0.4058	19.59	0.00191	0.0237	11.06	3.872	272.8	297.5	319.3	344	46.5	247
JASP30_5	2009	JASP	Oregon	0.259068148	30	44	122.92	150	309.5	939.4	0.87	92.2	14.57	0.1909	0.07475	19.81	1.321	0.2578	19.43	0.001844	0.02527	7.87	4.014	259	289	319.3	349.3	60.3	224.9
JEFF30_1	2009	JEFF	Oregon	0.247565926	30	44.73	123.08	100	258	774.2	0.92	78.9	16.38	0.1963	0.08316	21.93	0.693	0.3595	21.99	0.001796	0.02152	9.15	3.322	210	268	291.3	349.3	81.3	194
JEFF30_2	2009	JEFF	Oregon	0.254962963	30	44.73	123.08	100	331.3	1269.1	1.13	90.5	17.27	0.188	0.09152	19.47	1.688	0.2943	23.71	0.001885	0.02048	9.34	4.269	233	266.5	305.3	338.8	72.3	260.8
JEFF30_3	2009	JEFF	Oregon	0.261244074	30	44.73	123.08	100	291	869.2	1.07	93.6	21.95	0.2392	0.09115	NA	2.269	0.411	19.57	0.002206	0.02431	9.89	3.959	211.8	268	279	335.3	67.3	227.7
JEFF30_4	2009	JEFF	Oregon	0.252542593	30	44.73	123.08	100	248	752.3	0.8	80.8	19.96	0.238	0.08415	21.02	1.389	0.313	19.25	0.002199	0.02605	9.12	4.568	231	281.5	299.3	349.3	68.3	185.2
LAFY30_1	2009	LAFY	Oregon	0.250312963	30	45.2	123.08	100	280.3	501.1	1.06	109.8	15.97	0.1824	0.0877	21.29	1.141	0.3964	27.43	0.001533	0.01745	10.48	3.018	217.5	296.3	270.5	349.3	53	229.3
LAFY30_2	2009	LAFY	Oregon	0.252378148	30	45.2	123.08	100	296.8	696.3	1.08	103.2	14.94	0.2097	0.07242	18.8	1.967	0.2401	18.95	0.001807	0.02535	8.3	4.447	210.5	263	295	347.5	84.5	221
LAFY30_3	2009	LAFY	Oregon	0.250638148	30	45.2	123.08	100	274	692.4	1.1	90	20.08	0.2173	0.09357	NA	1.859	0.3903	21.79	0.00209	0.0228	9.72	3.85	193.3	274	259.8	340.5	66.5	210.2
LAFY30_5	2009	LAFY	Oregon	0.259014074	30	45.2	123.08	100	266.8	533.1	0.87	103.3	19.3	0.2157	0.08902	NA	2.448	0.3412	20.43	0.002014	0.02287	9.57	4.221	219.3	280	295.3	351	76	202.5
NPLN30_3	2009	NPLN	Oregon	0.263528889	30	45.57	123	100	262.5	836.7	0.84	80.7	18.65	0.2617	0.07193	19.7	1.07	0.3313	19.2	0.001797	0.02526	10.37	4.223	232	266.3	304.5	338.8	72.5	189.4
NPLN30_4	2009	NPLN	Oregon	0.262576667	30	45.57	123	100	238.8	434.3	0.94	100.4	16.19	0.2408	0.06798	NA	1.253	0.278	21.21	0.001567	0.0232	10.46	4.189	210.6	269.4	280.9	339.6	70.3	197.7
ALSC01_4	2010	ALSC	North	0.291067063	1	59.62	137.92	107	83.5	66	0.59	55.4	NA	NA	NA	20.85	NA	NA	NA	NA	NA	NA	NA	75	158.4	177.3	260.6	102.3	46
ALSC01_5	2010	ALSC	North	0.298517133	1	59.62	137.92	107	57.1	15.9	0.3	57.7	NA	NA	NA	20.55	NA	NA	NA	NA	NA	NA	NA	94	140.8	208.6	255.4	114.6	28.1
TATB01_4	2010	TATB	North	0.298583706	1	59.43	137.83	34	80.5	68.1	0.51	50.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.8	143.8	172	250	106.3	34.2
TATB01_7	2010	TATB	North	0.297901119	1	59.43	137.83	34	104.3	102	0.63	55.8	20.34	0.3029	NA	22.24	4.118	0.4756	19.87	0.001656	0.02483	12.48	3.228	83.8	154	208.8	279	125	53.3
NKND03_2	2010	NKND	North	0.293321469	3	58.93	133.18	122	99	64.6	0.34	65.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	135.8	222.3	263	127.3	32.7
TAKA03_3	2010	TAKA	North	0.295230769	3	NA	NA	NA	447	5258.4	1.2	75.5	18.04	0.2085	0.08585	19.24	0.93	0.2739	22.7	0.001888	0.0218	9.55	4.723	166.7	241.3	248.3	323	81.7	202
TAKB03_3	2010	TAKB	North	0.290605105	3	58.7	133.4	49	134.3	128.5	0.43	76.5	NA	NA	NA	19.7	NA	NA	NA	NA	NA	NA	NA	113.8	170	224.3	280.5	110.5	47.8
TAKB03_4	2010	TAKB	North	0.289146853	3	58.7	133.4	49	90.3	55.3	0.2	63.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	142	214.5	266.5	124.5	18.8
TAKB03_5	2010	TAKB	North	0.288346503	3	58.7	133.4	49	116.5	101.7	0.35	68.3	NA	NA	NA	21.13	NA	NA	NA	NA	NA	NA	NA	96.8	150.5	220.3	274	123.5	35
STKG04_4	2010	STKG	North	0.288335664	4	57.95	129.67	732	122.8	111.2	0.76	81	NA	NA	NA	20.55	NA	NA	NA	NA	NA	NA	NA	73.3	155.8	185.8	268.3	112.5	25.8
TNZA04_1	2010	TNZA	North	0.297244336	4	NA	NA	NA	371.5	3248.7	1.12	75.3	14	0.1688	0.09906	18.83	0.711	0.1895	32.95	0.001166	0.01441	11.81	5.315	144	223.3	243.8	323	99.8	161.5
STKD05_1	2010	STKD	North	0.288330699	5	57.33	131.78	49	117.3	103.8	0.47	74.8	NA	NA	NA	22.47	NA	NA	NA	NA	NA	NA	NA	84	154	212.5	282.5	128.5	40
STKD05_3	2010	STKD	North	0.285399091	5	57.33	131.78	49	164	311.2	0.46	75.2	NA	NA	NA	20.53	NA	NA	NA	NA	NA	NA	NA	115.3	170	238	292.8	122.8	53.2
STKE05_3	2010	STKE	North	0.298594196	5	57.52	131.78	61	149.3	88.3	0.28	104.4	NA	NA	NA	19.47	NA	NA	NA	NA	NA	NA	NA	86.7	141.7	213	268	126.3	24.3
STKF05_1	2010	STKF	North	0.295575175	5	57.65	131.57	85	147.3	142.3	0.55	81.1	NA	NA	NA	19.99	NA	NA	NA	NA	NA	NA	NA	83	146.5	210	273.5	127	47.5
FKRB06_1	2010	FKRB	North	0.290348601	6	NA	NA	NA	109.8	74.1	0.51	77.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.5	159.3	214	294.8	135.5	41.5
ISKA06_1	2010	ISKA	North	0.297203077	6	56.7	131.15	73	115.5	70.7	0.5	88.7	NA	NA	NA	21.43	NA	NA	NA	NA	NA	NA	NA	77.8	143	219.3	284.5	141.5	39.2
ISKA06_2	2010	ISKA	North	0.292119301	6	56.7	131.15	73	122.5	107.7	0.35	74.8	NA	NA	NA	19.44	NA	NA	NA	NA	NA	NA	NA	87.5	154	231.8	298.3	144.3	31.2
ISKA06_4	2010	ISKA	North	0.288346154	6	56.7	131.15	73	107	47.3	0.18	82.3	NA	NA	NA	20.04	NA	NA	NA	NA	NA	NA	NA	65	147	188	270	123	12
ISKA06_5	2010	ISKA	North	0.288546434	6	56.7	131.15	73	76	26.7	0.26	69.5	NA	NA	NA	19.85	NA	NA	NA	NA	NA	NA	NA	80.3	155.8	217.3	292.8	137	21.7
ISKC06_1	2010	ISKC	North	0.296186154	6	56.93	130.33	317	117.4	59.3	0.36	91.2	NA	NA	NA	21.06	NA	NA	NA	NA	NA	NA	NA	73.6	143	194.6	264	121	26.6
ISKC06_3	2010	ISKC	North	0.285701958	6	56.93	130.33	317	68	19.7	0.3	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	143.5	204	280.5	137	20.5
ISKC06_5	2010	ISKC	North	0.295785455	6	56.93	130.33	317	187.3	188.4	0.41	106.7	NA	NA	NA	20.09	NA	NA	NA	NA	NA	NA	NA	82.5	164.8	208.8	291	126.3	36
IRVC07_1	2010	IRVC	North	0.287128811	7	56.73	129.73	579	92.8	46.1	0.26	77.4	NA	NA	NA	20.04	NA	NA	NA	NA	NA	NA	NA	98.8	164.3	223.8	289.3	125	29.3
IRVC07_5	2010	IRVC	North	0.282307902	7	56.73	129.73	579	68.8	25	0.47	61.9	18.94	0.2248	NA	20.06	2.114	0.5708	18.31	0.002273	0.02697	8.33	2.572	91.3	154	205.5	268.3	114.3	43.3
IRVC07_6	2010	IRVC	North	0.294137203	7	56.73	129.73	579	115	61.4	0.55	81.7	22.19	0.2594	NA	21.41	2.456	0.4585	22.41	0.001863	0.02177	11.91	3.721	102.5	171.8	216.8	286	114.3	59
IRVD07_4	2010	IRVD	North	0.294692308	7	56.85	129.62	677	180	319.1	0.82	74.2	NA	NA	NA	20.56	NA	NA	NA	NA	NA	NA	NA	106.5	157.5	226	277	119.5	87.7
TRTB07_5	2010	TRTB	North	0.283191678	7	56.57	129.82	640	93.5	51.5	0.42	71.2	NA	NA	NA	22.6	NA	NA	NA	NA	NA	NA	NA	88.5	157.8	207.8	277	119.3	40.7
TRTB07_6	2010	TRTB	North	0.294660909	7	56.57	129.82	640	121.3	163.7	0.53	63.6	NA	NA	NA	20.54	NA	NA	NA	NA	NA	NA	NA	93.5	144.5	224.5	275.5	131	51.5
TRTB07_7	2010	TRTB	North	0.283735524	7	56.57	129.82	640	78.8	54.3	0.42	56.7	20.86	0.2973	NA	18.84	2.12	0.3755	18.79	0.001794	0.02557	11.63	4.068	83.5	143.5	204.8	264.8	121.3	35
NASC08_2	2010	NASC	North	0.288484825	8	55.05	129.5	24	197.8	317.7	0.63	80	21.81	0.3093	NA	20.38	1.028	0.3752	25.11	0.001358	0.01926	16.06	4.294	91	175.3	212.3	296.5	121.3	62.3
NASC08_5	2010	NASC	North	0.283838252	8	55.05	129.5	24	145.3	110.9	0.32	96	NA	NA	NA	19.79	NA	NA	NA	NA	NA	NA	NA	131.3	185	244.3	298	113	42.6
NASD08_2	2010	NASD	North	0.292684755	8	55.22	129.13	58	194.3	240.6	0.66	106	16.25	0.1654	0.10339	20.28	0.864	0.3107	20.02	0.002479	0.02474	6.22	3.877	160	221.5	234.7	298	90.5	70.6
NASD08_4	2010	NASD	North	0.281543217	8	55.22	129.13	58	140.5	108.4	0.39	89.4	NA	NA	NA	18.27	NA	NA	NA	NA	NA	NA	NA	109	171.8	231.8	294.5	122.8	42
NASD08_5	2010	NASD	North	0.281692448	8	55.22	129.13	58	195.8	263.9	0.4	87.7	16.95	0.2382	NA	19.92	1.884	0.3809	23.18	0.001547	0.02175	10.96	3.341	124.3	179	241.5	296.3	117.3	52
NASF08_2	2010	NASF	North	0.280465035	8	55.57	128.78	152	191.5	317.8	0.67	92.6	19.96	0.2771	NA	20.77	3.289	0.362	19.61	0.001789	0.02482	11.18	4.06	91.5	175.5	203.8	287.8	112.3	67.5
NASH08_1	2010	NASH	North	0.293885944	8	55.72	128.82	183	140.8	99.7	0.46	88.5	NA	NA	NA	21.46	NA	NA	NA	NA	NA	NA	NA	75.5	155.8	216	296.3	140.5	35.5
NASH08_4	2010	NASH	North	0.274575524	8	55.72	128.82	183	165.3	162.5	0.55	90.6	16.48	0.2205	NA	20.34	1.875	0.4136	25.88	0.00142	0.019	11.61	2.952	108	187.3	223.3	302.7	115.3	60.6
NASH08_5	2010	NASH	North	0.298208531	8	NA	NA	NA	389.3	1913	1.08	97.2	15.25	0.1824	0.10627	18.78	0.253	0.2406	28.12	0.00146	0.01746	10.45	4.454	151.8	236.8	238	323	86.3	160.3
KSPA09_3	2010	KSPA	North	0.292263636	9	55.77	128.53	518	111.3	57.7	0.77	82.2	20.04	0.2527	NA	23.1	2.743	0.3434	18.89	0.002116	0.02669	9.47	4.262	78.8	159.3	195.7	275	116.3	63.8
CDRE10_1	2010	CDRE	North	0.280952517	10	55.02	128.33	152	128.8	63.8	0.07	104.8	NA	NA	NA	20.86	NA	NA	NA	NA	NA	NA	NA	93.8	143	235.3	284.5	141.5	7.3
CDRE10_3	2010	CDRE	North	0.293285385	10	55.02	128.33	152	212.5	306.6	0.72	104.3	21.36	0.2331	NA	19.86	4.984	0.2771	14.46	0.003032	0.03308	7.05	5.577	153	207.5	252.3	306.8	99.3	111.7
CEDA10_2	2010	CEDA	North	0.282030839	10	54.95	128.92	274	188.3	270.8	0.9	86.3	14.19	0.2067	NA	NA	1.45	0.4113	30.04	0.001136	0.01649	12.47	2.647	91.8	175.3	211.3	294.8	119.5	82.8
CEDA10_4	2010	CEDA	North	0.284998881	10	54.95	128.92	274	169.5	254.9	0.39	78.3	NA	NA	NA	22.6	NA	NA	NA	NA	NA	NA	NA	89.5	186	196.3	292.8	106.8	35
HAZH10_1	2010	HAZH	North	0.291842587	10	55.22	127.67	238	192.5	208.3	0.43	102.8	NA	NA	NA	21.51	NA	NA	NA	NA	NA	NA	NA	97.3	162.8	229	294.5	131.8	43
HAZH10_2	2010	HAZH	North	0.284931329	10	55.22	127.67	238	200	324.1	0.25	87.8	NA	NA	NA	19.55	NA	NA	NA	NA	NA	NA	NA	101	170.7	212.7	282.3	111.7	31
HAZH10_3	2010	HAZH	North	0.28545014	10	55.22	127.67	238	214.5	226.6	0.47	112.1	NA	NA	NA	18.94	NA	NA	NA	NA	NA	NA	NA	121.8	184.3	223.8	286.3	102	61
HAZH10_5	2010	HAZH	North	0.297115664	10	55.22	127.67	238	192.5	328	0.49	82.8	27.63	0.2619	NA	21.01	0.439	0.563	17.65	0.002842	0.02696	9.72	3.818	124	186	236	298	112	62.7
KTSG10_5	2010	KTSG	North	0.280223357	10	55.1	127.92	213	209.8	257.3	0.66	100.7	8.6	0.158	NA	20.42	1.234	0.3097	11.75	0.002284	NA	3.76	2.012	118.8	193.3	221.8	296.3	103	84.8
KTWF10_3	2010	KTWF	North	0.294208951	10	NA	NA	NA	490.3	3969.1	1.26	93.5	20.81	0.3449	0.08094	19.86	0.695	0.3582	19.39	0.001508	0.025	13.79	4.209	159	237.3	244.8	323	85.8	201
SKNB10_1	2010	SKNB	North	0.282118392	10	54.68	128.38	122	216.3	297.4	0.51	98.2	19.18	0.2029	0.10471	20.31	0.455	0.4197	27.29	0.001853	0.02027	10.66	3.485	140.6	199.4	244.5	303.3	103.9	75.9
SKNB10_2	2010	SKNB	North	0.279237762	10	54.68	128.38	122	170.5	140.7	0.53	99.6	NA	NA	NA	20.11	NA	NA	NA	NA	NA	NA	NA	112.5	184.3	231.5	303.3	119	62.5
SKNC10_1	2010	SKNC	North	0.281158042	10	54.77	128.27	122	149	80.6	0.31	105.4	23.26	0.2417	NA	19.39	1.497	0.4191	25.36	0.001832	0.01903	12.7	4.278	127	191.5	227	291.5	100	39
SKNC10_2	2010	SKNC	North	0.279586993	10	54.77	128.27	122	191.8	234.5	0.17	96.4	NA	NA	NA	19.32	NA	NA	NA	NA	NA	NA	NA	89.8	164.8	228.3	303.3	138.5	19
SKNC10_4	2010	SKNC	North	0.286471818	10	54.77	128.27	122	216.6	249	0.57	108.6	NA	NA	NA	20.01	NA	NA	NA	NA	NA	NA	NA	120.5	176.9	246	302.4	125.5	69.3
SKND10_2	2010	SKND	North	0.29572951	10	NA	NA	NA	467.3	5949.5	1.13	72	15.07	0.1425	0.0934	19.73	1.137	0.2261	35.21	0.001504	0.01422	10.02	4.742	181.3	249.5	254.8	323	73.5	205.8
SKNL10_1	2010	SKNL	North	0.287211329	10	54.45	128.75	61	280.3	563	0.93	110.8	18.43	0.2374	0.09947	20.35	1.635	0.3935	24.35	0.001624	0.02173	11.27	3.509	150	214.5	247.5	312	97.5	140.8
SKNL10_3	2010	SKNL	North	0.276983706	10	54.45	128.75	61	249.3	565.7	0.53	97.5	24.52	0.321	0.0934	20.39	1.787	0.4122	17.02	0.00216	0.02828	11.35	4.494	162.5	218	263.8	319.3	101.3	74.6
SKNL10_4	2010	SKNL	North	0.286056084	10	54.45	128.75	61	226	320.3	0.87	115.7	NA	NA	0.09172	19.26	NA	NA	NA	NA	NA	NA	NA	140	211	242.8	313.8	102.8	123
SKNM10_1	2010	SKNM	North	0.279638182	10	54.4	128.98	43	231	409.2	0.65	88.9	8.25	NA	NA	20.29	NA	0.2486	NA	NA	NA	NA	2.343	121.3	180	246.3	305	125	106
SKNM10_2	2010	SKNM	North	0.296222308	10	54.4	128.98	43	168.8	115.7	0.38	105.9	NA	NA	NA	19.94	NA	NA	NA	NA	NA	NA	NA	104.5	168.3	237.8	301.5	133.3	44.5
SKNM10_3	2010	SKNM	North	0.285902238	10	54.4	128.98	43	209.5	225	0.47	108.7	NA	NA	NA	21.12	NA	NA	NA	NA	NA	NA	NA	141.5	196.8	244.5	299.8	103	66.7
SKNN10_2	2010	SKNN	North	0.303538671	10	NA	NA	NA	561	7334	1.52	79.6	17.21	0.2008	0.09541	18.31	1.739	0.2383	22.87	0.001818	0.02119	9.44	5.052	199	263.5	258.5	323	59.5	305.2
SKNN10_3	2010	SKNN	North	0.274046294	10	54.28	129.37	30	192.5	175.7	0.32	104.3	NA	NA	NA	20.7	NA	NA	NA	NA	NA	NA	NA	99.8	170	231.3	301.5	131.5	34.5
